,titulo,preco_original,desconto_percentual,preco_com_desconto,quantidade_vendida,marca,material,genero,temporada,nota_satisfacao,quantidade_avaliações
15,Calça Treino Essentials 3 Listras Masculina adidas Novo,R$ 407.56,36%,R$ 299.68,50,adidas,Poliéster,Masculino,Outono/Inverno,3.1,19
16,Bermuda adidas Masculina Chelsea 3 Listras,R$ 282.89,23%,R$ 229.99,0,adidas,Reciclado,Masculino,Outono/Inverno,Sem avaliação,0
17,Short Masculino Malha Plana Aeroready adidas,R$ 136.49,5%,R$ 129.99,100,adidas,Poliéster,Masculino,N/A,3.1,14
18,Short Masculino Logo adidas Novo,R$ 201.54,35%,R$ 149.29,50,adidas,Poliéster,Masculino,Outono/Inverno,5,9
19,Shorts Masculino Squadra 21 adidas,R$ 155.99,30%,R$ 119.99,100,adidas,Poliéster,Masculino,N/A,3.1,82
20,Calça Masculina Aeroready Sereno Slim Legend Ink adidas,R$ 282.49,13%,R$ 249.99,100,adidas,Poliéster,Masculino,Primavera/Verão,3.1,10
21,Bermuda Masculina adidas Tennis Club 3 Listras,R$ 249.99,25%,R$ 199.99,1,adidas,Poliéster,Masculino,Outono/Inverno,Sem avaliação,0
22,Short Masculino Logo adidas,R$ 155.99,30%,R$ 119.99,100,adidas,Poliéster,Masculino,N/A,4.7,14
23,Short Masculino Malha Colorblock Aeroready adidas Novo,R$ 233.99,30%,R$ 179.99,50,adidas,Poliéster,Masculino,Outono/Inverno,4.5,8
24,Kit 10 Cuecas Boxer Lupo Cueca Box Algodão Masculina Atacado,R$ 274.81,18%,R$ 232.89,10000,Lupo,Algodão,Masculino,Outono/Inverno,3.1,3034
25,Kit 4 Cuecas Boxer Lupo Em Algodão Masculina Cotton Original,R$ 109.68,22%,R$ 89.90,10000,Lupo,Algodão,Masculino,Primavera/Verão,3.1,2382
26,Kit 2 Cuecas Boxer Lupo Basic Microfibra Sem Costura Box,R$ 90.99,30%,R$ 69.99,10000,Lupo,Microfibra,Masculino,Primavera/Verão,3.1,1429
27,2 Máscara De Proteção Lupo Dupla Camada Reutilizável Lavável,R$ 52.78,34%,R$ 39.39,1000,Lupo,N/A,N/A,N/A,3.1,52
28,Kit Com 2 Shorts Feminino Básico Sem Costura Loba Macio Lupo,R$ 72.90,0%,R$ 72.90,3,Lupo,Poliamida,Feminino,Primavera/Verão,Sem avaliação,0
29,Faixa De Cabelo Lupo Sport Fitness Yoga Pilates 15010-001,R$ 41.57,0%,R$ 41.57,500,Lupo,N/A,Feminino,N/A,3.1,45
30,Kit 3 Short Feminino Básico Sem Costura Loba Resistente Lupo,R$ 127.90,0%,R$ 127.90,3,Lupo,Poliamida,Feminino,Primavera/Verão,Sem avaliação,0
31,Kit 4 Cuecas Boxer Infantil Kids Menino Box Sem Costura Lupo,R$ 143.97,31%,R$ 109.90,1000,Lupo,Poliamida,Meninos,Primavera/Verão,3.1,145
32,Kit 2 Cuecas Boxer Lupo Basic Microfibra Sem Costura Box,R$ 90.99,30%,R$ 69.99,10000,Lupo,Microfibra,Masculino,Primavera/Verão,3.1,1429
33,Faixa De Cabelo Lupo Sport Fitness Yoga Pilates 15010-001,R$ 41.57,0%,R$ 41.57,500,Lupo,N/A,Feminino,N/A,3.1,45
34,Kit C/3 Short Feminino Básico Sem Costura Loba Flexível Lupo,R$ 139.90,0%,R$ 139.90,1,Lupo,Poliamida,Feminino,Primavera/Verão,Sem avaliação,0
35,Kit 6 Cuecas Boxer Lupo Algodão Masculina Box Adulto Cotton,R$ 177.38,16%,R$ 152.91,10000,Lupo,Algodão Cotton,Masculino,Primavera-verão Outono-Inverno,3.1,1676
36,2 Máscara De Proteção Lupo Dupla Camada Reutilizável Lavável,R$ 52.78,34%,R$ 39.39,1000,Lupo,N/A,N/A,N/A,3.1,52
37,Kit 3 Cuecas Boxer Lupo Tamanho Plus Size Masculina Original,R$ 128.99,29%,R$ 99.99,1000,Lupo,Algodão,Masculino,Outono/Inverno,3.1,127
38,Kit 4 Cuecas Boxer Lupo Em Algodão Masculina Cotton Original,R$ 109.68,22%,R$ 89.90,10000,Lupo,Algodão,Masculino,Primavera/Verão,4.6,2382
39,Kit 4 Cuecas Boxer Lupo Em Algodão Masculina Cotton Original,R$ 109.68,22%,R$ 89.90,10000,Lupo,Algodão,Masculino,Primavera/Verão,4.6,2382
